bottle.stl
Opening bottle.stl.
0.207933 11.207433 7.713266 
-0.561233 10.416500 8.176499 
0.123633 15.222168 7.770667 
-0.772700 13.610200 7.486500 
0.146800 23.289232 9.531567 
-1.312367 20.061632 8.767767 
0.356867 34.390934 11.795634 
-1.915866 30.453798 11.014732 
0.663700 44.652996 13.049133 
-2.151700 41.490433 12.776834 
0.836100 51.204834 12.532666 
-1.833267 49.510132 12.889199 
0.718300 54.420334 11.158299 
-1.268767 53.659866 11.631268 
0.456067 56.017334 10.443333 
-0.880833 55.599033 10.531334 
0.282367 57.025928 10.804234 
-0.772133 56.730732 10.547867 
0.244367 57.746967 11.595567 
-0.803367 57.533966 11.294968 
0.268667 58.277496 12.089601 
-0.833933 58.118633 11.957934 
0.286400 58.651836 12.025300 
-0.824233 58.544033 12.087433 
0.289133 58.880871 11.393765 
-0.772400 58.820236 11.643333 
0.273167 59.068237 10.391767 
-0.695333 59.004833 10.735000 
0.242767 59.422466 9.415633 
-0.623933 59.276997 9.701934 
0.211933 60.105301 8.816200 
-0.583200 59.836597 8.945033 
0.195433 61.017933 8.595201 
-0.569533 60.695965 8.615067 
0.192133 61.914032 8.497334 
-0.563000 61.626934 8.510734 
0.215800 62.590500 7.240467 
-0.466500 62.395733 7.838633 
0.244967 62.928364 2.212867 
-0.097267 62.856766 4.412533 
-2.607433 5.617400 8.654400 
-3.165934 5.918033 12.622167 
-4.383334 5.172033 12.549733 
-2.350667 8.638467 9.758100 
-3.665367 7.651200 10.774433 
-2.021466 11.207433 7.494667 
-2.807467 10.416500 7.748133 
-2.774000 15.222168 7.532433 
-3.253567 13.610200 7.077200 
-4.694767 23.289232 9.229400 
-5.260033 20.061632 8.278167 
-6.841200 34.390934 11.425632 
-8.160900 30.453798 10.403934 
-7.679266 44.652996 12.653966 
-10.096066 41.490433 12.083533 
-6.546567 51.204834 12.167933 
-9.577201 49.510132 12.204900 
-4.541934 54.420334 10.837300 
-7.150400 53.659939 11.017367 
-3.168167 56.017303 10.134367 
-4.842167 55.598999 9.967299 
-2.787534 57.025928 10.476300 
-3.846567 56.730732 9.974732 
-2.902467 57.746967 11.243000 
-3.832033 57.533966 10.680634 
-3.012200 58.277496 11.726334 
-4.032967 58.118633 11.311934 
-2.976267 58.651836 11.668633 
-4.061666 58.544033 11.439134 
-2.788267 58.880871 11.060433 
-3.881533 58.820236 11.023499 
-2.509433 59.068237 10.090500 
-3.540800 59.004833 10.166200 
-2.252000 59.422466 9.142067 
-3.169000 59.276997 9.187267 
-2.105700 60.105301 8.556700 
-2.907667 59.836597 8.467300 
-2.056633 61.017933 8.339700 
-2.797600 60.695965 8.152400 
-2.032967 61.914032 8.244600 
-2.761700 61.626934 8.053634 
-1.682200 62.590534 7.039167 
-2.493533 62.395802 7.431567 
-1.244867 62.856800 4.228100 
-4.805600 5.617400 7.633700 
-6.404566 5.918033 11.313933 
-7.543533 5.172033 10.900333 
-4.866933 8.638467 8.776500 
-6.388667 7.651200 9.388333 
-4.074600 11.207433 6.726067 
-4.819167 10.416500 6.738000 
-5.365266 15.222168 6.740266 
-5.400134 13.610200 6.135567 
-8.926600 23.289232 8.247833 
-8.552167 20.061632 7.165067 
-13.093666 34.390934 10.214833 
-13.293965 30.453798 9.009867 
-14.950100 44.652996 11.328633 
-16.627899 41.490433 10.481467 
-13.045400 51.204834 10.909767 
-16.001501 49.510132 10.603833 
-9.249367 54.420368 9.720800 
-12.113734 53.659939 9.576167 
-6.477434 56.017334 9.080966 
-8.276167 55.599072 8.654266 
-5.626566 57.025898 9.378166 
-6.583367 56.730701 8.651366 
-5.820133 57.746967 10.063867 
-6.555533 57.533936 9.262933 
-6.056067 58.277496 10.501301 
-6.913500 58.118633 9.815566 
-6.004833 58.651836 10.454666 
-6.978433 58.544033 9.931133 
-5.646333 58.880871 9.914800 
-6.684200 58.820236 9.575366 
-5.094633 59.068237 9.048367 
-6.106800 59.004833 8.833833 
-4.569666 59.422466 8.197234 
-5.463833 59.276997 7.982567 
-4.257667 60.105301 7.668733 
-5.002567 59.836597 7.353367 
-4.146933 61.017933 7.471433 
-4.804867 60.695965 7.077067 
-4.098167 61.914032 7.386067 
-4.742300 61.626934 6.991100 
-3.447933 62.590565 6.321600 
-4.323767 62.395802 6.466967 
-2.294333 62.856869 3.729400 
-6.638466 5.617400 6.026700 
-9.150434 5.918033 9.136100 
-10.135934 5.172033 8.414300 
-7.007033 8.638467 7.120266 
-8.629701 7.651200 7.281567 
-5.790967 11.207433 5.440533 
-6.457033 10.416500 5.210833 
-7.422166 15.222168 5.430100 
-7.068233 13.610200 4.723000 
-12.126400 23.289232 6.632467 
-10.961368 20.061632 5.502100 
-17.724566 34.390934 8.219067 
-16.931334 30.453798 6.924334 
-20.327900 44.652996 9.132600 
-21.224134 41.490433 8.075000 
-17.917734 51.204834 8.813067 
-20.566267 49.510132 8.188867 
-12.888901 54.420334 7.857133 
-15.736766 53.659866 7.399900 
-9.156533 56.017334 7.329600 
-10.904866 55.599033 6.677000 
-8.006066 57.025898 7.559367 
-8.780433 56.730732 6.664100 
-8.288600 57.746933 8.111300 
-8.782233 57.533936 7.134399 
-8.634366 58.277496 8.469167 
-9.274000 58.118633 7.565733 
-8.571533 58.651836 8.437233 
-9.369933 58.544033 7.660933 
-8.069966 58.880871 8.007099 
-8.983634 58.820236 7.392334 
-7.287734 59.068237 7.310800 
-8.212899 59.004833 6.823334 
-6.535633 59.422466 6.622400 
-7.347233 59.276997 6.165100 
-6.082067 60.105301 6.191367 
-6.720867 59.836597 5.675001 
-5.918267 61.017933 6.028967 
-6.450467 60.695965 5.458534 
-5.848200 61.914032 5.959900 
-6.366133 61.626934 5.392067 
-4.948000 62.590565 5.118134 
-5.828167 62.395802 5.005900 
-3.169434 62.856869 2.944300 
-7.991700 5.617400 3.969933 
-11.230067 5.918033 6.269533 
-12.000667 5.172033 5.306900 
-8.635700 8.638467 4.926100 
-10.250466 7.651200 4.635767 
-7.072933 11.207433 3.744533 
-7.628834 10.416500 3.298433 
-8.868966 15.222168 3.711000 
-8.207534 13.610200 2.962133 
-14.237900 23.289232 4.517967 
-12.499233 20.061632 3.433867 
-20.684700 34.390934 5.604600 
-19.156166 30.453798 4.328500 
-23.747534 44.652996 6.248600 
-24.001236 41.490433 5.072767 
